treat,heat,id,time,t_water,t_air,posture,urine,mass_initial,mass_final,svl,population,feed,Snout,Eye,Head,Dorsum,Leg,Foot,Tail,jump,heat2
Heliothermy,Heating,EV1,400,18.9,18.9,0,0,6.6861,6.6577,55.21,Evora,1,6.6,10.9,11.3,11.5,12.7,6.3,12.3,,1
Heliothermy,Heating,TV10,380,18.7,19.2,0,0,6.3937,6.3826,68.33,Torres Vedras,3,8.4,9.7,11.6,12.9,10.6,7.5,12.3,,1
Heliothermy,Heating,TV13,400,18.8,19.1,0.5,0,6.3713,6.366,72.67,Torres Vedras,1,8.8,11,12.7,13.2,12.7,,12.4,,1
Heliothermy,Heating,AY21,380,19.3,18.9,0,1,7.657,7.6124,64.65,Ayamonte,3,6.7,8.7,9,13.7,12.1,4.8,12.5,,1
Heliothermy,Heating,TV10,400,18.7,19.2,0,0,6.3937,6.3826,68.33,Torres Vedras,3,8.2,9.8,11.5,13.3,10.7,7.5,12.5,,1
Heliothermy,Heating,TV16,340,18.9,18.6,0.5,0,6.6971,6.6916,64.02,Torres Vedras,1,,10.1,12.3,11.5,11,5.8,12.6,,1
Heliothermy,Heating,TV10,420,18.7,19.2,0,0,6.3937,6.3826,68.33,Torres Vedras,3,8.2,10.3,11.9,13.5,10.7,7.7,12.6,,1
Heliothermy,Heating,PTB,380,18.8,18.6,0.5,1,11.3208,11.2212,78.17,Portimao,1,10.8,13.8,12.6,12.7,12.9,,12.6,,1
Heliothermy,Heating,TV10,440,18.8,19.2,0,0,6.3937,6.3826,68.33,Torres Vedras,3,8.3,10.1,12.3,13.4,10.8,7.6,12.7,,1
Heliothermy,Heating,TV16,360,18.9,18.6,0.5,0,6.6971,6.6916,64.02,Torres Vedras,1,,11,13,11.9,11.3,5.9,12.8,,1
Heliothermy,Heating,TV13,420,18.8,19.1,0.5,0,6.3713,6.366,72.67,Torres Vedras,1,9.1,11.5,13.2,13.7,13.6,,13.1,,1
Heliothermy,Heating,TV16,380,18.9,18.6,0.5,0,6.6971,6.6916,64.02,Torres Vedras,1,,11.5,13.2,12.1,11.6,5.9,13.2,,1
Heliothermy,Heating,TV16,400,18.9,18.6,0.5,0,6.6971,6.6916,64.02,Torres Vedras,1,,11.9,13.5,12.3,12,5.7,13.4,,1
Heliothermy,Heating,TV16,420,18.9,18.6,0.5,0,6.6971,6.6916,64.02,Torres Vedras,1,,12.5,13.7,12.7,12.2,5.3,13.5,,1
Heliothermy,Heating,TV13,440,18.8,19.1,0.5,0,6.3713,6.366,72.67,Torres Vedras,1,9.2,12,13.7,14,14.3,,13.7,,1
Heliothermy,Heating,TV16,440,18.9,18.6,0.5,0,6.6971,6.6916,64.02,Torres Vedras,1,,13.2,14.1,13.1,12.4,5.3,13.9,,1
Heliothermy,Heating,TV13,460,18.8,19.1,0.5,0,6.3713,6.366,72.67,Torres Vedras,1,9.7,12.4,13.9,14.2,15,,14.3,,1
Heliothermy,Heating,TV13,480,18.8,19.1,0.5,0,6.3713,6.366,72.67,Torres Vedras,1,9.8,12.5,14.1,14.4,15.4,,14.7,,1
Thigmothermy,Heating,EV17,20,35.1,18.3,0,0,10.4821,10.4698,73.58,Evora,2,0.9,,,,0.5,3.2,,,1
Heliothermy,Heating,TV14,440,18.4,18.6,0,0,7.918,7.905,68.75,Torres Vedras,1,7.5,10,12.2,12.1,9.9,,,,1
Heliothermy,Heating,TV14,460,18.4,18.6,0,0,7.918,7.905,68.75,Torres Vedras,1,8.5,10.7,12.7,12.7,10.7,,,,1
Heliothermy,Heating,TV14,480,18.4,18.6,0,0,7.918,7.905,68.75,Torres Vedras,1,8.4,10.7,12.8,13.2,10.9,,,,1
Heliothermy,Heating,TV14,500,18.4,18.6,0,0,7.918,7.905,68.75,Torres Vedras,1,8.4,10.6,13,13.4,11.2,,,,1
Heliothermy,Heating,TV14,520,18.5,18.6,0,0,7.918,7.905,68.75,Torres Vedras,1,8.4,10.9,13.2,13.8,11.5,,,,1
Heliothermy,Heating,AY18,60,18.7,18.5,1,0,7.2041,7.202,64.5,Ayamonte,1,2.5,2.7,4,4.4,,,,1,1
Heliothermy,Heating,TV10,460,18.8,19.2,0,0,6.3937,6.3826,68.33,Torres Vedras,3,,,,,,,,1,1
Heliothermy,Heating,TV2,80,18.8,18.6,0,0,12.0274,12.0074,80.09,Torres Vedras,3,,,,,,,,1,1
Heliothermy,Heating,EV1,120,18.9,18.9,1,0,6.6861,6.6577,55.21,Evora,1,,,,,,,,1,1
