treat,heat,id,time,t_water,t_air,posture,urine,mass_initial,mass_final,svl,population,feed,Snout,Eye,Head,Dorsum,Leg,Foot,Tail,jump,heat2
Heliothermy,Cooling,PT14,0,19.2,19,0,0,7.78,7.763,70.07,Portimao,3,0,0,0,0,0,0,0,,2
Heliothermy,Cooling,TV14,80,18.5,18.6,0,0,7.918,7.905,68.75,Torres Vedras,1,-3.5,-4.5,-5.5,-5.7,-6.4,-1,-0.7,,2
Heliothermy,Cooling,TV14,100,18.5,18.5,0,0,7.918,7.905,68.75,Torres Vedras,1,-3.5,-5.1,-6.2,-6.6,-7.2,-1.7,-1.2,,2
Heliothermy,Cooling,EV17,40,18.9,18.7,0.5,0,10.266,10.2356,73.58,Evora,1,,,,-2.6,-3,-2.9,-4.3,,2
Heliothermy,Cooling,TV14,120,18.5,18.5,0,0,7.918,7.905,68.75,Torres Vedras,1,,,,-7.3,-7.5,-1.7,-1.7,,2
Heliothermy,Cooling,AY7,60,18.7,18.6,0.5,0,7.4611,7.4547,58.2,Ayamonte,1,-4.3,-6.1,-3.7,-3.3,-3.6,-3.2,-1.8,,2
Heliothermy,Cooling,AY7,80,18.7,18.7,1,0,7.4611,7.4547,58.2,Ayamonte,1,-5.2,-7.3,-4.3,-4,-3.9,-3.7,-1.8,,2
Heliothermy,Cooling,PT14,140,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-4.1,-5.5,-5.7,-8.6,-2.2,,-4.8,,2
Heliothermy,Cooling,PT14,160,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-4.6,-5.9,-6,-9.1,-2.3,,-5.2,,2
Heliothermy,Cooling,PT14,180,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-4.8,-5.9,-6,-9.1,-2,,-5.2,,2
Heliothermy,Cooling,PT14,200,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-4.9,-6.2,-6.4,-9.4,-2.3,,-5.4,,2
Heliothermy,Cooling,PT14,220,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-5.3,-6.5,-6.5,-9.6,-2.2,,-5.6,,2
Heliothermy,Cooling,PT14,240,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-5.6,-6.8,-6.8,-9.8,-2.2,,-5.9,,2
Heliothermy,Cooling,AY18,60,18.7,18.6,1,0,7.2041,7.202,64.5,Ayamonte,1,-3.6,-4.2,-3.3,-4,-3.8,-2.1,-2.1,,2
Heliothermy,Cooling,EV8,60,18.6,18.7,0.5,1,9.4573,9.3479,76.37,Evora,3,-2.3,-1.7,-3.2,-4.2,-3,-3.7,-2.3,,2
Heliothermy,Cooling,PT14,300,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-6.5,-7.5,-7.3,-10.3,-2.2,-1.8,-6.3,,2
Heliothermy,Cooling,PT14,320,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-7,-7.6,-7.6,-10.6,-2.3,-1.8,-6.5,,2
Heliothermy,Cooling,PT14,340,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-7.1,-7.9,-7.9,-10.7,-2.2,-1.9,-6.7,,2
Heliothermy,Cooling,PT14,360,19.2,19,0.5,0,7.78,7.763,70.07,Portimao,3,-7.4,-8.1,-8.1,-10.9,-2.3,-1.8,-6.8,,2
Heliothermy,Cooling,PT14,380,19.2,19,0.5,0,7.78,7.763,70.07,Portimao,3,-7.5,-8.3,-8.4,-11.2,-2.4,-1.9,-6.9,,2
Heliothermy,Cooling,PT14,400,19.2,19,0.5,0,7.78,7.763,70.07,Portimao,3,-7.3,-8.5,-8.6,-11.4,-2.5,-2.2,-7,,2
Heliothermy,Cooling,PT14,420,19.2,19,0.5,0,7.78,7.763,70.07,Portimao,3,-7.7,-8.9,-8.9,-11.5,-2.5,-2,-7.3,,2
Heliothermy,Cooling,PT14,440,19.2,19,0.5,0,7.78,7.763,70.07,Portimao,3,,,,,,,,1,2
Heliothermy,Cooling,PT14,460,19.2,18.9,0,0,7.78,7.763,70.07,Portimao,3,-7.4,-8.9,-9,-11.8,-2.6,-2.2,-7.5,1,2
Heliothermy,Cooling,PT14,480,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-7.8,-9.3,-9.3,-12.1,-3,-2.4,-7.8,,2
Heliothermy,Cooling,PT14,500,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-7.7,-9.2,-9.4,-12.2,-3.1,-2.4,-7.9,,2
Heliothermy,Cooling,PT14,520,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-7.7,-9.2,-9.4,-12.3,-3,-2.4,-8,,2
Heliothermy,Cooling,PT14,540,19.2,19,1,0,7.78,7.763,70.07,Portimao,3,-7.8,-9.3,-9.6,-12.3,-2.9,-2.5,-8.2,,2
Heliothermy,Cooling,PT14,560,19.2,18.9,1,0,7.78,7.763,70.07,Portimao,3,-7.9,-9.5,-9.7,-12.5,-3.1,-2.6,-8.2,,2
Heliothermy,Cooling,PT14,580,19.2,18.9,1,0,7.78,7.763,70.07,Portimao,3,-7.9,-9.6,-9.7,-12.4,-3.1,-2.5,-8.3,,2
Heliothermy,Cooling,PT14,600,19.2,18.9,1,0,7.78,7.763,70.07,Portimao,3,-8,-9.6,-9.7,-12.5,-2.9,-2.3,-8.3,,2
Heliothermy,Cooling,AY21,0,19.3,18.9,0.5,1,7.657,7.6124,64.65,Ayamonte,3,0,0,0,0,0,0,0,,2
Heliothermy,Cooling,AY6,40,18.9,18.8,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-1.5,-1.3,-2.5,-3,-3.7,-3.8,-4.2,,2
Heliothermy,Cooling,TV10,60,18.8,19.1,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-2.1,-2.2,-2.7,-2.9,-1.4,-3.9,-2.3,,2
Heliothermy,Cooling,AY19,60,19,18.8,0.5,1,10.7872,10.7318,77.85,Ayamonte,3,-4.2,-1.6,-0.7,-3.9,-2.9,-4.2,-2.4,1,2
Heliothermy,Cooling,AY18,80,18.7,18.5,1,0,7.2041,7.202,64.5,Ayamonte,1,-3.4,-4.4,-3.8,-4.5,-4.6,-2.3,-2.5,,2
Heliothermy,Cooling,AY18,100,18.7,18.6,1,0,7.2041,7.202,64.5,Ayamonte,1,-3.8,-4.9,-4.1,-4.9,-5,-2.3,-2.5,,2
Heliothermy,Cooling,AY7,100,18.7,18.6,0.5,0,7.4611,7.4547,58.2,Ayamonte,1,-6.7,-8.1,-4.6,-4.5,-4.6,-3.9,-2.5,1,2
Heliothermy,Cooling,AY21,140,19.2,19,0,1,7.657,7.6124,64.65,Ayamonte,3,-2.9,-2.9,-3.2,-6.7,-7.2,-3.2,-6.1,1,2
Heliothermy,Cooling,AY21,160,19.2,19,0,1,7.657,7.6124,64.65,Ayamonte,3,-2.6,-3.2,-3.4,-7.2,-7.3,-3.5,-6.5,,2
Heliothermy,Cooling,AY21,180,19.2,19,0.5,1,7.657,7.6124,64.65,Ayamonte,3,-3.1,-3.6,-4,-7.7,-7.6,-3.8,-6.8,,2
Heliothermy,Cooling,AY21,200,19.1,19,0,1,7.657,7.6124,64.65,Ayamonte,3,,,,,,,,1,2
Heliothermy,Cooling,AY21,220,19.2,19,0.5,1,7.657,7.6124,64.65,Ayamonte,3,-4.1,-4.5,-4.7,-8.6,-7.9,-4.1,-7.4,1,2
Heliothermy,Cooling,AY21,240,19.2,19,0,1,7.657,7.6124,64.65,Ayamonte,3,-4.3,-4.6,-5,-9,-8.2,-4.1,-7.6,,2
Heliothermy,Cooling,AY18,120,18.7,18.6,1,0,7.2041,7.202,64.5,Ayamonte,1,-4.2,-5,-4.5,-5.2,-5.5,-2.3,-2.6,,2
Heliothermy,Cooling,AY7,120,18.7,18.6,0.5,0,7.4611,7.4547,58.2,Ayamonte,1,,,,-4.9,-4.6,-3.8,-2.6,,2
Heliothermy,Cooling,AY21,300,19.2,19,1,1,7.657,7.6124,64.65,Ayamonte,3,-5.1,-5.8,-6.3,-10.2,-9,-4.4,-8.6,,2
Heliothermy,Cooling,AY21,320,19.2,19,1,1,7.657,7.6124,64.65,Ayamonte,3,-5,-6,-6.6,-10.6,-9.2,-4.4,-8.9,,2
Heliothermy,Cooling,AY21,340,19.2,19,1,1,7.657,7.6124,64.65,Ayamonte,3,-5,-6.3,-6.9,-10.9,-9.5,-4.5,-9.1,,2
Heliothermy,Cooling,AY21,360,19.2,19,1,1,7.657,7.6124,64.65,Ayamonte,3,-5.1,-6.6,-7.1,-11.1,-9.6,-4.5,-9.3,,2
Heliothermy,Cooling,AY21,380,19.2,19,1,1,7.657,7.6124,64.65,Ayamonte,3,-5.2,-7,-7.5,,-10.4,-4.5,,,2
Heliothermy,Cooling,AY21,400,19.2,19,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.1,-6.9,-7.3,-11.6,-9.9,-4.4,-10,,2
Heliothermy,Cooling,AY21,420,19.2,19,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.1,-7.1,-7.6,-11.8,-10.1,-4.6,-10.2,,2
Heliothermy,Cooling,AY21,440,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.3,-7.2,-7.8,-12,-10.3,-4.6,-10.4,,2
Heliothermy,Cooling,AY21,460,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.3,-7.3,-7.9,-12.2,-10.3,-4.6,-10.7,,2
Heliothermy,Cooling,AY21,480,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.4,-7.4,-8,-12.4,-10.5,-4.7,-10.8,,2
Heliothermy,Cooling,AY21,500,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.6,-7.6,-8.3,-12.6,-10.6,-4.7,-11,,2
Heliothermy,Cooling,AY21,520,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.7,-7.7,-8.3,-12.7,-10.7,-4.7,-11.2,,2
Heliothermy,Cooling,AY21,540,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.8,-7.8,-8.5,-12.8,-10.7,-4.7,-11.3,,2
Heliothermy,Cooling,AY21,560,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.8,-8,-8.6,-13,-11,-4.7,-11.5,,2
Heliothermy,Cooling,AY21,580,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.8,-8,-8.7,-13.1,-11,-4.6,-11.5,,2
Heliothermy,Cooling,AY21,600,19.2,19.1,0,1,7.657,7.6124,64.65,Ayamonte,3,-5.9,-8.2,-8.8,-13.2,-11.1,-4.7,-11.7,,2
Heliothermy,Cooling,TV10,0,18.8,19.2,0,0,6.3937,6.3826,68.33,Torres Vedras,3,0,0,0,0,0,0,0,,2
Heliothermy,Cooling,PTB,60,18.8,18.6,0.5,1,11.3208,11.2212,78.17,Portimao,1,-2.4,-4.2,-3.3,-3.3,,,-2.7,,2
Heliothermy,Cooling,TV10,80,18.8,19.1,0,0,6.3937,6.3826,68.33,Torres Vedras,3,,,-3.7,-3.8,-1.3,-4.2,-2.8,,2
Heliothermy,Cooling,TV13,40,18.8,19.2,0.5,0,6.3713,6.366,72.67,Torres Vedras,1,-1.8,-3,-2.9,-3.3,-4,-4.5,-3.6,,2
Heliothermy,Cooling,EV8,80,18.6,18.7,0.5,1,9.4573,9.3479,76.37,Evora,3,,,,-4.8,-3.3,-4.3,-2.8,,2
Heliothermy,Cooling,AY19,80,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-4.7,-1.7,-0.8,-4.7,-3.3,-4.9,-2.8,1,2
Heliothermy,Cooling,EV12,60,18.6,18.4,0.5,1,9.6967,9.6624,64.66,Evora,1,-1.5,-1.2,-1,-3.2,-1.2,,-2.8,,2
Heliothermy,Cooling,TV10,140,18.8,19,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-3.4,-4.1,-4.9,-5.2,-2.4,-4.8,-4.3,,2
Heliothermy,Cooling,TV10,160,18.8,19,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-3.7,-4.5,-5.2,-5.5,-2.8,-5,-4.6,,2
Heliothermy,Cooling,TV10,180,18.8,19,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-4.1,-5.1,-5.6,-6,-3,-5.2,-4.9,,2
Heliothermy,Cooling,TV10,200,18.8,18.9,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-4.4,-5.4,-6,-6.4,-3.4,-5.2,-5.2,,2
Heliothermy,Cooling,TV10,220,18.8,18.9,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-4.7,-5.8,-6.4,-6.8,-3.9,-5.3,-5.3,,2
Heliothermy,Cooling,TV10,240,18.9,18.9,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5,-6.5,-6.7,-7.1,-4.2,-5.5,-5.7,,2
Heliothermy,Cooling,PT14,60,19.2,19,0,0,7.78,7.763,70.07,Portimao,3,-2.6,-3.1,-3.6,-5.6,-1.4,-1.9,-3,,2
Heliothermy,Cooling,PTB,80,18.8,18.7,0.5,1,11.3208,11.2212,78.17,Portimao,1,-2.8,-5.1,-3.9,-3.7,,,-3,,2
Heliothermy,Cooling,TV10,300,18.8,18.8,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.4,-7.3,-7.6,-7.9,-4.9,-5.6,-6.5,,2
Heliothermy,Cooling,TV10,320,18.9,18.8,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.6,-7.8,-8,-8.3,-5.2,-5.7,-6.8,,2
Heliothermy,Cooling,TV10,340,18.9,18.8,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.9,-7.8,-8.2,-8.3,-5.3,,-7,,2
Heliothermy,Cooling,TV10,360,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.9,-7.8,-8.3,-8.5,-5.4,,-7.3,,2
Heliothermy,Cooling,TV10,380,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-6,-8,-8.6,-8.8,-5.7,,-7.3,,2
Heliothermy,Cooling,TV10,400,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.7,-8.1,-8.7,-9,-5.9,,-7.4,,2
Heliothermy,Cooling,TV10,420,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.6,-8.1,-9,-9.2,-6.2,,-7.7,,2
Heliothermy,Cooling,TV10,440,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.8,-8.3,-9.2,-9.5,-6.4,,-7.9,,2
Heliothermy,Cooling,TV10,460,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,,,-9.4,-9.7,-6.7,-5.7,-8.9,,2
Heliothermy,Cooling,TV10,480,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,,,-9.6,-9.9,-6.9,-5.8,-9.1,,2
Heliothermy,Cooling,TV10,500,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,,,-9.8,-10,-7.1,-5.7,-9.1,,2
Heliothermy,Cooling,TV10,520,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,,,-10,-10.2,-7.4,-5.7,-9.2,,2
Heliothermy,Cooling,TV10,540,18.9,18.7,0,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.8,-8.6,-10,-10.3,-7.5,-5.4,-9.6,,2
Heliothermy,Cooling,TV10,560,18.9,18.7,1,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.9,-8.7,-10,-10.4,-7.5,-5.8,-9.3,,2
Heliothermy,Cooling,TV10,580,18.9,18.7,1,0,6.3937,6.3826,68.33,Torres Vedras,3,-6,-9,-10.1,-10.5,-7.6,-6,-9.7,,2
Heliothermy,Cooling,TV10,600,18.9,18.7,1,0,6.3937,6.3826,68.33,Torres Vedras,3,-5.9,-8.9,-10.3,-10.7,-7.7,-5.9,-9.8,,2
Heliothermy,Cooling,AY19,0,19.1,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,0,0,0,0,0,0,0,,2
Heliothermy,Cooling,EV19,60,18.5,18.2,0,0,11.6157,11.6083,82.07,Evora,2,-4.7,-5.4,-4.6,-3.2,-2.8,-2.6,-3.1,,2
Heliothermy,Cooling,EV8,120,18.6,18.7,1,1,9.4573,9.3479,76.37,Evora,3,-2.6,-2.7,-4.5,-6,-4.3,-4.8,-3.1,,2
Heliothermy,Cooling,PT1,60,18.3,18.5,0.5,0,11.5596,11.5235,77.16,Portimao,1,,-4.2,-4.1,-4.6,-4.6,-3.3,-3.2,,2
Heliothermy,Cooling,PTA,60,18.6,18.7,0.5,0,7.6055,7.5934,68.14,Portimao,1,,-1.1,-3.4,-4,-5.1,-3.3,-3.2,,2
Heliothermy,Cooling,EV8,100,18.6,18.7,1,1,9.4573,9.3479,76.37,Evora,3,,,,-5.5,-4,-4.6,-3.4,,2
Heliothermy,Cooling,EV12,80,18.6,18.4,0.5,1,9.6967,9.6624,64.66,Evora,1,-2.5,-2.1,-1.9,-4,-1.6,,-3.4,,2
Heliothermy,Cooling,AY19,140,19,18.8,0.5,1,10.7872,10.7318,77.85,Ayamonte,3,-4.9,-2.4,-1.9,-6.4,-4.2,,-3.9,,2
Heliothermy,Cooling,AY19,160,19,18.8,0.5,1,10.7872,10.7318,77.85,Ayamonte,3,-4.9,-2.7,-2.1,-6.8,-4.7,,-4.3,,2
Heliothermy,Cooling,AY19,180,19,18.8,0.5,1,10.7872,10.7318,77.85,Ayamonte,3,-5,-2.7,-2.1,-7.2,-4.8,,-4.5,,2
Heliothermy,Cooling,AY19,200,19,18.8,0.5,1,10.7872,10.7318,77.85,Ayamonte,3,-5.1,-2.8,-2.2,-7.4,-5.1,,-4.7,,2
Heliothermy,Cooling,AY19,220,19,18.8,0.5,1,10.7872,10.7318,77.85,Ayamonte,3,-4.9,-2.8,-2.3,-7.7,-5.3,,-4.9,,2
Heliothermy,Cooling,AY19,240,19,18.8,0.5,1,10.7872,10.7318,77.85,Ayamonte,3,-5,-2.8,-2.3,-7.9,-5.5,,-5.1,,2
Heliothermy,Cooling,EV1,80,18.9,18.9,0,0,6.6861,6.6577,55.21,Evora,1,-1.4,-2.5,-4.1,-4.4,-5.3,,-3.4,1,2
Heliothermy,Cooling,PTB,100,18.8,18.6,0.5,1,11.3208,11.2212,78.17,Portimao,1,-3.3,-5.8,-4.7,-4.4,,,-3.4,,2
Heliothermy,Cooling,AY19,300,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-5.7,-3.1,-2.4,-8.6,-5.8,-6.4,-5.6,,2
Heliothermy,Cooling,AY19,320,18.9,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-5.7,-3.3,-2.5,-8.7,-5.9,-6.5,-5.8,,2
Heliothermy,Cooling,AY19,340,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-5.8,-3.4,-2.6,-9,-6,-6.6,-6,,2
Heliothermy,Cooling,AY19,360,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-5.9,-3.4,-2.9,-9.2,-6,-6.6,-6.1,,2
Heliothermy,Cooling,AY19,380,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6,-3.6,-3.1,-9.6,-6.2,-6.7,-6.2,,2
Heliothermy,Cooling,AY19,400,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6,-3.7,-3.2,-9.7,-6.3,-6.8,-6.4,,2
Heliothermy,Cooling,AY19,420,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.2,-3.9,-3.4,-9.9,-6.2,-6.7,-6.4,,2
Heliothermy,Cooling,AY19,440,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.3,-4,-3.6,-10.2,-6.5,-6.8,-6.6,,2
Heliothermy,Cooling,AY19,460,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.2,-4.1,-3.8,-10.3,-6.5,-6.8,-6.7,,2
Heliothermy,Cooling,AY19,480,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.4,-4.2,-4,-10.6,-6.7,-6.8,-6.8,,2
Heliothermy,Cooling,AY19,500,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.4,-4.2,-4.1,-10.7,-6.7,-6.8,-6.9,,2
Heliothermy,Cooling,AY19,520,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.4,-4.4,-4.4,-10.9,-6.8,-6.8,-6.9,,2
Heliothermy,Cooling,AY19,540,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.4,-4.5,-4.5,-11,-6.9,-6.7,-7,,2
Heliothermy,Cooling,AY19,560,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.5,-4.5,-4.5,-11.1,-7,-6.7,-7,,2
Heliothermy,Cooling,AY19,580,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.6,-4.6,-4.8,-11.3,-7,-6.8,-7.1,,2
Heliothermy,Cooling,AY19,600,19,18.8,0,1,10.7872,10.7318,77.85,Ayamonte,3,-6.6,-4.7,-4.8,-11.4,-7,-6.8,-7.3,,2
Heliothermy,Cooling,AY6,0,18.9,18.8,0,0,7.0416,7.0309,58.2,Ayamonte,3,0,0,0,0,0,0,0,,2
Heliothermy,Cooling,TV2,60,18.9,18.7,0,0,12.0274,12.0074,80.09,Torres Vedras,3,-3.7,-2.6,-2.2,-4.6,-5.2,-5.5,-3.5,,2
Heliothermy,Cooling,AY19,120,19,18.8,0.5,1,10.7872,10.7318,77.85,Ayamonte,3,-4.8,-2.4,-1.7,-5.9,-4,,-3.5,,2
Heliothermy,Cooling,PT18,40,18.8,18.6,0.5,1,12.0763,12.0672,77.51,Portimao,1,-1.6,-1.7,-2.3,-3.6,-4.9,-3.6,-2.9,,2
Heliothermy,Cooling,PT14,80,19.2,19,0,0,7.78,7.763,70.07,Portimao,3,-2.6,-4.2,-4.4,-6.6,-1.6,-2,-3.6,,2
Heliothermy,Cooling,AY21,60,19.2,19,0.5,1,7.657,7.6124,64.65,Ayamonte,3,-1.5,-1.9,-2,-4.4,-3.5,-3.1,-3.7,,2
Heliothermy,Cooling,PT18,60,18.8,18.6,0.5,1,12.0763,12.0672,77.51,Portimao,1,-1.9,-2.3,-2.9,-4.5,-6,-4.5,-3.7,,2
Heliothermy,Cooling,AY6,140,19,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-2.4,-3.6,-4.4,-5.4,-8.8,-5.4,-8.2,,2
Heliothermy,Cooling,AY6,160,18.9,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-2.8,-3.8,-4.8,-5.9,-9.3,-5.5,-8.5,,2
Heliothermy,Cooling,AY6,180,18.9,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-3.1,-4,-4.9,-6.1,-9.7,-5.6,-9,,2
Heliothermy,Cooling,AY6,200,19,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-3,-4.3,-5.1,-6.4,-9.9,-5.8,-8.9,,2
Heliothermy,Cooling,AY6,220,18.9,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-3.8,-4.7,-5.5,-6.7,-10.3,-5.9,-9.2,,2
Heliothermy,Cooling,AY6,240,18.9,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-4,-5,-5.8,-6.8,-10.7,-6,-9.5,,2
Heliothermy,Cooling,EV1,60,18.9,18.9,1,0,6.6861,6.6577,55.21,Evora,1,-0.9,-1.8,-3.4,-4,,,-3.7,,2
Heliothermy,Cooling,EV19,80,18.5,18.2,0,0,11.6157,11.6083,82.07,Evora,2,-5.3,-6.3,-5.4,-3.7,-3.6,-3,-3.8,,2
Heliothermy,Cooling,AY6,300,19,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-4.6,-5.5,-6.5,-7.3,-11.8,-6.1,-10.5,,2
Heliothermy,Cooling,AY6,320,19,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-4.6,-5.7,-6.6,-7.5,-12.1,-6.1,-10.5,,2
Heliothermy,Cooling,AY6,340,18.9,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-4.6,-6,-6.8,-7.7,-12.3,-6.1,-10.6,,2
Heliothermy,Cooling,AY6,360,18.9,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-4.8,-6,-7,-8,-12.6,-6.2,-11,,2
Heliothermy,Cooling,AY6,380,19,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-4.7,-6,-6.9,-8,-12.7,-6.2,-11,,2
Heliothermy,Cooling,AY6,400,19,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-4.9,-6.3,-7.2,-8.2,-13,-6.4,-11.1,,2
Heliothermy,Cooling,AY6,420,18.9,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-5.1,-6.4,-7.2,-8.3,-13.1,-6.3,-11.3,,2
Heliothermy,Cooling,AY6,440,19,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-5.1,-6.5,-7.4,-8.5,-13.2,-6.3,,,2
Heliothermy,Cooling,AY6,460,19,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-5.2,-6.7,-7.7,-8.7,,,,,2
Heliothermy,Cooling,AY6,480,19,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-5.4,-6.9,-7.7,-8.8,,,,,2
Heliothermy,Cooling,AY6,500,19,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-5.4,-6.9,-7.8,-8.9,,,,,2
Heliothermy,Cooling,AY6,520,18.9,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-5.4,-7,-8.1,-9.1,,,,,2
Heliothermy,Cooling,AY6,540,19,18.7,0.5,0,7.0416,7.0309,58.2,Ayamonte,3,-5.4,-7.2,-8.1,-9.2,,,,,2
Heliothermy,Cooling,AY6,560,19,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-5.6,-7.3,-8.4,-9.4,,,,,2
Heliothermy,Cooling,AY6,580,19,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-5.6,-7.4,-8.5,-9.5,-13.7,,-12.6,,2
Heliothermy,Cooling,AY6,600,19,18.7,1,0,7.0416,7.0309,58.2,Ayamonte,3,-5.6,-7.5,-8.5,-9.7,-13.7,,-12.6,,2
Heliothermy,Cooling,TV2,0,18.9,18.7,0,0,12.0274,12.0074,80.09,Torres Vedras,3,0,0,0,0,0,0,0,,2
Heliothermy,Cooling,PTA,40,18.6,18.7,0.5,0,7.6055,7.5934,68.14,Portimao,1,-2.2,-1.2,-2.8,-3,-2.3,-2.9,-2.9,,2
Heliothermy,Cooling,TV16,40,18.9,18.6,0.5,0,6.6971,6.6916,64.02,Torres Vedras,1,-4.8,-3.8,-4,-3.6,-3,-3.2,-2.8,,2
Heliothermy,Cooling,AY21,40,19.3,19,0.5,1,7.657,7.6124,64.65,Ayamonte,3,-1.4,-1.5,-1.7,-3.5,-2.5,-2.6,-2.8,,2
Heliothermy,Cooling,PTA,100,18.6,18.6,1,0,7.6055,7.5934,68.14,Portimao,1,-2.9,-2.4,-4.6,-5.1,-6.6,-3.4,-3.8,,2
Heliothermy,Cooling,TV16,60,18.9,18.6,0.5,0,6.6971,6.6916,64.02,Torres Vedras,1,,-5,-4.9,-3.6,-3.5,-3.5,-3.8,,2
Heliothermy,Cooling,PTA,80,18.6,18.6,1,0,7.6055,7.5934,68.14,Portimao,1,,-1.8,-3.8,-4.6,-5.9,-4,-3.8,,2
Heliothermy,Cooling,TV2,140,18.9,18.7,0,0,12.0274,12.0074,80.09,Torres Vedras,3,-4.8,-3.8,-3.5,-7,-8,-6.3,-5.1,1,2
